year,name,engine_size,mileage(km),price(eur),link
2020,Citroen Berlingo,1.5 Diesel,147336,12500,https://www.donedeal.ie/cars-for-sale/citroen-berlingo-650-en-prise-bhd/38898153
2016,Citroen C4,1.6 Diesel,231381,7695,https://www.donedeal.ie/cars-for-sale/2016-citroen-c4-1-6-diesel-vtr-7-seat/39464138
2011,Citroen DS 3  Diesel New Nct,1.6 Diesel,230000,3750,https://www.donedeal.ie/cars-for-sale/citroen-ds-3-2011-diesel-new-nct/39030679
2019,Citroen C4,1.6 Diesel,181226,14995,https://www.donedeal.ie/cars-for-sale/2019-citroen-c4-1-6-picasso-7-seater/39917188
2018,Citroen C4,1.6 Diesel,150000,12950,https://www.donedeal.ie/cars-for-sale/citroen-c4-picasso-2018-seats-7/40591763
2015,Citroen C4,1.6 Diesel,216774,6795,https://www.donedeal.ie/cars-for-sale/2015-citroen-c4-hdi-90-manual-vtr-1-6/39571209
2016,Citroen C4,1.6 Diesel,151499,8995,https://www.donedeal.ie/cars-for-sale/2016-citroen-c4-1-6d-hdi-connected-special-edition/40236988
2016,Citroen C4,1.6 Diesel,222067,7995,https://www.donedeal.ie/cars-for-sale/2016-citroen-c4-1-6-hdi-7-seater/39024520
2020,Citroen Berlingo,1.5 Diesel,156760,15950,https://www.donedeal.ie/cars-for-sale/citroen-berlingo-1000-en-prise-bl/39626641
2018,Citroen C3,1.2 Petrol,106000,8950,https://www.donedeal.ie/cars-for-sale/citroen-c3-2018-petrol-manual-new-nct/40368141
2018,Citroen DS 3  Diesel,1.6 Diesel,109000,8500,https://www.donedeal.ie/cars-for-sale/citroen-ds-3-2018-diesel/39378627
2016,Citroen Berlingo,1.6 Diesel,213841,7500,https://www.donedeal.ie/cars-for-sale/citroen-berlingo-625-enterprise-h/32890345
2016,Citroen Berlingo,1.6 Diesel,247015,7500,https://www.donedeal.ie/cars-for-sale/citroen-berlingo-1-6-hdi-enterprise-l1/31833738
2023,Citroen C5 Aircross,1.5 Diesel,46882,32500,https://www.donedeal.ie/cars-for-sale/citroen-c5-aircross-full-of-extras-and-top-specs/40476416
2023,Citroen C5 Aircross,1.5 Diesel,23804,30950,https://www.donedeal.ie/cars-for-sale/citroen-c5-aircross-flair-bluehdi-130-my50-4dr-str/39569531
2019,Citroen C3,1.2 Petrol,101353,13900,https://www.donedeal.ie/cars-for-sale/citroen-c3-aircross-1-2-feel-puretech-82/40287451
2016,Citroen C4,1.6 Petrol,95820,14950,https://www.donedeal.ie/cars-for-sale/citroen-grand-c4-picasso-automatic-1-6-petrol-7-se/39988178
2015,Citroen C4,1.6 Petrol,71583,13950,https://www.donedeal.ie/cars-for-sale/citroen-grand-c4-picasso-automatic-7-seater-1-6-pe/40380707
2016,Citroen C4,1.6 Petrol,94407,14950,https://www.donedeal.ie/cars-for-sale/citroen-grand-c4-picasso-7-seater-automatic-1-6-pe/40388554
2016,Citroen C4,1.6 Petrol,87305,14950,https://www.donedeal.ie/cars-for-sale/citroen-grand-c4-picasso-automatic-7-seater-1-63-p/40401278
2017,Citroen Berlingo,1.6 Diesel,242442,7500,https://www.donedeal.ie/cars-for-sale/citroen-berlingo-625-en-prise-blue/33972548
2012,Citroen Berlingo,1.6 Diesel,271233,5950,https://www.donedeal.ie/cars-for-sale/citroen-berlingo-725-x-l2-hdi-6dr/39320617
2016,Citroen Berlingo,1.6 Diesel,278571,6950,https://www.donedeal.ie/cars-for-sale/citroen-berlingo-625-lx-hdi/35666792
2012,Citroen C4,1.6 Diesel,188000,3950,https://www.donedeal.ie/cars-for-sale/citroen-c4-picasso-2012-seats-7-new-nct/39075097
2016,Citroen C4,1.6 Diesel,231381,7695,https://www.donedeal.ie/cars-for-sale/2016-citroen-c4-1-6-diesel-vtr-7-seat/39464138
2016,Citroen C4,1.6 Diesel,222067,7995,https://www.donedeal.ie/cars-for-sale/2016-citroen-c4-1-6-hdi-7-seater/39024520
2016,Citroen Berlingo,1.6 Diesel,213841,7500,https://www.donedeal.ie/cars-for-sale/citroen-berlingo-625-enterprise-h/32890345
2016,Citroen Berlingo,1.6 Diesel,247015,7500,https://www.donedeal.ie/cars-for-sale/citroen-berlingo-1-6-hdi-enterprise-l1/31833738
2017,Citroen Berlingo,1.6 Diesel,242442,7500,https://www.donedeal.ie/cars-for-sale/citroen-berlingo-625-en-prise-blue/33972548
