year,name,engine_size,mileage(km),price(eur),link
2015,Dacia Duster,1.5 Diesel,324879,5495,https://www.donedeal.ie/cars-for-sale/2015-dacia-duster-1-5-dci-alternative/40072516
2015,Dacia Duster,1.5 Diesel,140319,8995,https://www.donedeal.ie/cars-for-sale/2015-dacia-duster-1-5-dci-110-signature-prime/40433715
2017,Dacia Duster,1.5 Diesel,187678,8995,https://www.donedeal.ie/cars-for-sale/2017-dacia-duster-1-5-dci-prestige-110hp/38958211
2016,Dacia Duster,1.5 Diesel,109488,8995,https://www.donedeal.ie/cars-for-sale/2016-dacia-duster-1-5-dci-alternative/40526831
2014,Dacia Duster,1.5 Diesel,192806,6695,https://www.donedeal.ie/cars-for-sale/2014-dacia-duster-1-5-dci-signature-4wd/40433781
2018,Dacia Duster,1.5 Diesel,67666,10995,https://www.donedeal.ie/cars-for-sale/2018-dacia-duster-1-5-dci-110/39665562
2015,Dacia Duster,1.5 Diesel,302761,5995,https://www.donedeal.ie/cars-for-sale/2015-dacia-duster-1-5-dci-signature/39815579
2016,Dacia Sandero,1.5 Diesel,229000,5350,https://www.donedeal.ie/cars-for-sale/dacia-sandero-stepway-2016-diesel/40172280
2025,Dacia Bigster,1.2 Petrol Hybrid,500,35665,https://www.donedeal.ie/cars-for-sale/dacia-bigster-2025/40625949
2016,Dacia Sandero,1.1 Petrol,172704,7950,https://www.donedeal.ie/cars-for-sale/dacia-sandero-2016/40028756
2013,Dacia Duster,1.5 Diesel,235000,4950,https://www.donedeal.ie/cars-for-sale/dacia-duster-signature-1-5dci-110-4dr-1-5-dci-4/40478166
2025,Dacia Sandero,1.0 Petrol,11,20950,https://www.donedeal.ie/cars-for-sale/dacia-sandero-tce-90-expression/39037230
2024,Dacia Sandero,1.0 Petrol,28757,18450,https://www.donedeal.ie/cars-for-sale/dacia-sandero-tce-90-expression/38066501
2025,Dacia Bigster Journey HEV 155,1.8 Petrol Hybrid,25,38950,https://www.donedeal.ie/cars-for-sale/dacia-bigster-journey-hev-155/39635774
2019,Dacia Duster,1.5 Diesel,164000,13950,https://www.donedeal.ie/cars-for-sale/dacia-duster-1-5dci-comfort/40169739
2026,Dacia Jogger,1.0 Petrol,18,29950,https://www.donedeal.ie/cars-for-sale/dacia-jogger-extreme-tce-110-order-for-january/40234397
2021,Dacia Sandero,1.5 Diesel,86206,15950,https://www.donedeal.ie/cars-for-sale/dacia-sandero-stepway-alternative-blue-dci-95/39967434
2023,Dacia Duster,1.5 Diesel,57282,23950,https://www.donedeal.ie/cars-for-sale/dacia-duster-2023/40474376
2021,Dacia Duster,1.5 Diesel,40976,16750,https://www.donedeal.ie/cars-for-sale/dacia-duster-2021/40744800
2019,Dacia Logan MCV SIGNATURE SCE 75 MY1 4DR STRAIGHT,1.0 Petrol,83000,11995,https://www.donedeal.ie/cars-for-sale/dacia-logan-mcv-signature-sce-75-my1-4dr-straight/40126361
2019,Dacia Duster,1.5 Diesel,147000,12900,https://www.donedeal.ie/cars-for-sale/dacia-duster-essential-blue-dci-115-4dr-straight-d/37878178
2017,Dacia Duster,1.5 Diesel,203456,8950,https://www.donedeal.ie/cars-for-sale/2017-dacia-duster-1-5-dci-diesel-jeep/39710837
2023,Dacia Jogger,1.0 Petrol,44173,23950,https://www.donedeal.ie/cars-for-sale/dacia-jogger-1-0-petrol-110-expression-7-seater/39220491
2016,Dacia Sandero,1.5 Diesel,75100,8250,https://www.donedeal.ie/cars-for-sale/dacia-sandero-stepway-2016/40224225
2019,Dacia Sandero,1.0 Petrol,100480,8500,https://www.donedeal.ie/cars-for-sale/dacia-sandero-alternative-sce-75-my1-4dr/40231041
2014,Dacia Duster,1.5 Diesel,240419,5495,https://www.donedeal.ie/cars-for-sale/2014-dacia-duster-1-5-dci-alternative/40525622
2014,Dacia Sandero,0.9 Petrol,140173,6000,https://www.donedeal.ie/cars-for-sale/dacia-sandero-petrol-2014/38319556
2016,Dacia Sandero,1.1 Petrol,172704,7950,https://www.donedeal.ie/cars-for-sale/dacia-sandero-2016/40028756
