year,name,engine_size,mileage(km),price(eur),link
2017,Ford Focus,1.5 Diesel,167693,13600,https://www.donedeal.ie/cars-for-sale/ford-focus-zetec-tdci/38898156
2013,Ford C-Max,1.6 Diesel,196339,4250,https://www.donedeal.ie/cars-for-sale/ford-c-max-2013-titanium/40078384
2018,Ford Kuga,1.5 Diesel,130000,19500,https://www.donedeal.ie/cars-for-sale/ford-kuga-titanium-1-5-tdci-120ps-f-fwd-4dr/33351401
2018,Ford Focus,1.5 Diesel,246491,10495,https://www.donedeal.ie/cars-for-sale/2018-ford-focus-1-5d-style-tdci/40236942
2017,Ford S-Max,2.0 Diesel,286903,11995,https://www.donedeal.ie/cars-for-sale/2017-ford-s-max-2-0d-titanium-tdci-7-seater/40134905
2016,Ford Galaxy,2.0 Diesel,221936,12995,https://www.donedeal.ie/cars-for-sale/2016-ford-galaxy-2-0tdci-120ps-7-seater/38959152
2021,Ford Focus,1.5 Diesel,99296,22750,https://www.donedeal.ie/cars-for-sale/ford-focus-active-ecoblue/39381017
2016,Ford Fiesta,1.0 Petrol,125217,9995,https://www.donedeal.ie/cars-for-sale/ford-fiesta-2016-1-0-ecoboost-65ps-s-s-zetec/40034713
2012,Ford Mondeo,1.6 Diesel,278435,3995,https://www.donedeal.ie/cars-for-sale/2012-ford-mondeo-style-1-6tdci-115ps/39194664
2017,Ford Kuga,1.5 Diesel,209498,10850,https://www.donedeal.ie/cars-for-sale/2017-ford-kuga-1-5-tdci-diesel-titanium-suv-jeep/40636106
2018,Ford Focus,1.5 Diesel,155466,15500,https://www.donedeal.ie/cars-for-sale/ford-focus-titanium-1-5-td-95ps-6speed-4dr/39168443
2016,Ford Mondeo,1.5 Diesel,201457,9495,https://www.donedeal.ie/cars-for-sale/2016-ford-mondeo-zetec-1-5tdci-120hp/40433513
2016,Ford Galaxy,2.0 Diesel,268056,11495,https://www.donedeal.ie/cars-for-sale/2016-ford-galaxy-zetec-2-0d-tdci-140hp/40433183
2021,Ford Focus,1.5 Diesel,118159,19995,https://www.donedeal.ie/cars-for-sale/2021-ford-focus-1-5l-ecoblue-120ps-st-line/39815846
2011,Ford S-Max,2.0 Diesel,250112,4295,https://www.donedeal.ie/cars-for-sale/2011-ford-s-max-2-0tdci-115ps-zetec/39722801
2016,Ford Galaxy,2.0 Diesel,225161,12995,https://www.donedeal.ie/cars-for-sale/2016-ford-galaxy-zetec-2-0tdci-150ps-automatic/39297036
2016,Ford Mondeo,1.5 Diesel,137000,9950,https://www.donedeal.ie/cars-for-sale/ford-mondeo-1-5-tdci-zetec/40800923
2015,Ford Mondeo,1.6 Diesel,200465,9495,https://www.donedeal.ie/cars-for-sale/2015-ford-mondeo-1-6tdci-titanium-115hp/40586076
2018,Ford C-Max,1.5 Diesel,142118,12495,https://www.donedeal.ie/cars-for-sale/2018-ford-grand-c-max-1-5-tdci-95ps-zetec/39870074
2017,Ford Mondeo,2.0 Diesel,265919,11495,https://www.donedeal.ie/cars-for-sale/2017-ford-mondeo-st-line-2-0tdci-150ps/39558952
2015,Ford C-Max,1.6 Diesel,243560,6195,https://www.donedeal.ie/cars-for-sale/2015-ford-grand-c-max-1-6-diesel-95ps/39362360
2014,Ford S-Max,1.6 Diesel,214748,6795,https://www.donedeal.ie/cars-for-sale/2014-ford-s-max-zetec-1-6-tdci-7-seater/39194553
2017,Ford Focus,1.5 Diesel,176543,12950,https://www.donedeal.ie/cars-for-sale/ford-focus-20171-5-tdci-titianum-spec/40779324
2015,Ford Focus,1.6 Diesel,257521,7795,https://www.donedeal.ie/cars-for-sale/2015-ford-focus-1-6-tdci-style/40533390
2009,Ford Focus,1.8 Diesel,369266,2195,https://www.donedeal.ie/cars-for-sale/2009-ford-focus-1-8-tdci-zetec-115hp/40082417
2016,Ford Mondeo,1.5 Diesel,202418,8995,https://www.donedeal.ie/cars-for-sale/2016-ford-mondeo-zetec-1-5tdci-120ps/38959016
2016,Ford S-Max,2.0 Diesel,140701,15995,https://www.donedeal.ie/cars-for-sale/2016-ford-s-max-2-0tdci-140ps-titanium-automatic/39622854
2017,Ford Focus,1.5 Diesel,233354,11000,https://www.donedeal.ie/cars-for-sale/ford-focus-2017/40058267
2015,Ford Fiesta,1.0 Petrol,96560,8950,https://www.donedeal.ie/cars-for-sale/ford-fiesta-2015/40453099
2019,Ford Focus,1.5 Diesel,96383,19250,https://www.donedeal.ie/cars-for-sale/ford-focus-st-line-1-5-tdci-2019low-miles/40793422
2018,Ford Fiesta,1.1 Petrol,153235,11995,https://www.donedeal.ie/cars-for-sale/2018-ford-fiesta-1-1-petrol-titanium/40790993
2022,Ford Focus,1.0 Petrol Hybrid,54206,22900,https://www.donedeal.ie/cars-for-sale/ford-focus-st-line-edition-5dr-1-0t1-1-0t125-mhe/40610786
2010,Ford Focus,1.6 Diesel,316000,2950,https://www.donedeal.ie/cars-for-sale/ford-focus-2010-diesel/39593435
