year,name,engine_size,mileage(km),price(eur),link
2019,Honda CR-V,2.0 Petrol Hybrid,170359,25950,https://www.donedeal.ie/cars-for-sale/honda-cr-v-se-i-mmd-cvt/39328435
2015,Honda Shuttle,1.3 Petrol Hybrid,150000,7250,https://www.donedeal.ie/cars-for-sale/honda-shuttle-2015-automatic/40444542
2018,Honda CR-V,1.6 Diesel,129601,23500,https://www.donedeal.ie/cars-for-sale/honda-cr-v-ex-i-dtec-4wd-160bhp/40518310
2017,Honda CR-V,1.6 Diesel,133534,17950,https://www.donedeal.ie/cars-for-sale/honda-cr-v-se-i-dtec-4x2-plus/40796805
2018,Honda CR-V,1.6 Diesel,134412,21450,https://www.donedeal.ie/cars-for-sale/honda-cr-v-s-nav-i-dtec-4x2/38496085
2019,Honda Civic,1.6 Diesel,52000,19950,https://www.donedeal.ie/cars-for-sale/honda-civic-1-6-diesel/40256455
2016,Honda HR-V,1.6 Diesel,165000,11950,https://www.donedeal.ie/cars-for-sale/honda-hr-v-1-6-i-dtec-es-5dr/36958170
2016,Honda Fit,1.5 Petrol Hybrid,59325,12750,https://www.donedeal.ie/cars-for-sale/honda-fit-automatic-self-charging-hybrid/40751521
2015,Honda Shuttle,1.5 Petrol Hybrid,115719,11750,https://www.donedeal.ie/cars-for-sale/honda-shuttle-daa-gp7-5dr-auto/40751504
2013,Honda Jazz,1.3 Petrol,193120,6950,https://www.donedeal.ie/cars-for-sale/honda-jazz-2013/40734157
2022,Honda Jazz,1.5 Petrol Hybrid,35700,24950,https://www.donedeal.ie/cars-for-sale/honda-jazz-1-5i-mmd-hev-executive-auto/39666407
2014,Honda Fit,1.5 Petrol Hybrid,102997,11950,https://www.donedeal.ie/cars-for-sale/honda-fit-automatic-self-charging-hybrid/39836292
2016,Honda Fit,1.5 Petrol Hybrid,73579,12750,https://www.donedeal.ie/cars-for-sale/honda-fit-automatic-self-charging-hybrid/40002445
2016,Honda Fit,1.5 Petrol Hybrid,51207,13500,https://www.donedeal.ie/cars-for-sale/honda-fit-automatic-self-charging-hybrid/40232869
2017,Honda Fit,1.5 Petrol Hybrid,102246,13500,https://www.donedeal.ie/cars-for-sale/honda-fit-automatic-self-charge-hybrid/40347153
2016,Honda Shuttle,1.5 Petrol Hybrid,104187,12500,https://www.donedeal.ie/cars-for-sale/honda-shuttle-automatic-self-charge-hybrid/40347148
2013,Honda Civic,1.6 Diesel,143905,7950,https://www.donedeal.ie/cars-for-sale/honda-civic-1-6-i-dtec-se-5dr-i-dtec-120ps/40255406
2020,Honda HR-V,1.5 Petrol,109609,21950,https://www.donedeal.ie/cars-for-sale/honda-hr-v-1-5-i-vtec-es-cvt-5dr-auto/39971107
2015,Honda Shuttle,1.3 Petrol Hybrid,150000,7250,https://www.donedeal.ie/cars-for-sale/honda-shuttle-2015-automatic/40444542
2013,Honda Civic,1.6 Diesel,143905,7950,https://www.donedeal.ie/cars-for-sale/honda-civic-1-6-i-dtec-se-5dr-i-dtec-120ps/40255406
