year,name,engine_size,mileage(km),price(eur),link
2014,Hyundai ix35,1.7 Diesel,245000,6950,https://www.donedeal.ie/cars-for-sale/hyundai-ix35-2014-diesel/40154928
2016,Hyundai i40,1.7 Diesel,231479,11995,https://www.donedeal.ie/cars-for-sale/2016-hyundai-i40-1-7-automatic-executive-plus/40697033
2019,Hyundai i30,1.6 Diesel,197588,11495,https://www.donedeal.ie/cars-for-sale/2019-hyundai-i30-classic-1-6-crdi-diesel/36569643
2022,Hyundai Tucson,1.6 Petrol Plug-in Hybrid,115872,29950,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-premium-tgdi-phev/39419632
2015,Hyundai i40,1.7 Diesel,172102,8750,https://www.donedeal.ie/cars-for-sale/hyundai-i40-1-7-crdi-s-bl-dr-115ps-4dr/40188920
2018,Hyundai i30,1.6 Diesel,120700,16500,https://www.donedeal.ie/cars-for-sale/hyundai-i30-se-crdi/40518318
2015,Hyundai ix35,1.7 Diesel,232877,8495,https://www.donedeal.ie/cars-for-sale/2015-hyundai-ix35-celebration-1-7d-le-115hp/40434322
2013,Hyundai ix35,1.7 Diesel,139637,7195,https://www.donedeal.ie/cars-for-sale/2013-hyundai-ix35-1-7-celebration-diesel/40033905
2017,Hyundai Santa Fe,2.2 Diesel,265999,14995,https://www.donedeal.ie/cars-for-sale/2017-hyundai-santa-fe-2-2-crdi-7-seat/40027754
2016,Hyundai i30,1.6 Diesel,215365,11950,https://www.donedeal.ie/cars-for-sale/hyundai-i30-se-nav-blue-drive-110-5dr-110ps/40498855
2018,Hyundai Tucson,1.7 Diesel,195092,15995,https://www.donedeal.ie/cars-for-sale/2018-hyundai-tucson-1-7d-comfort-plus/40434399
2019,Hyundai Tucson,1.6 Diesel,154462,18995,https://www.donedeal.ie/cars-for-sale/2019-hyundai-tucson-2wd-comfort-1-6d/40375293
2015,Hyundai i40,1.7 Diesel,331686,5495,https://www.donedeal.ie/cars-for-sale/2015-hyundai-i40-comfort-1-7d-estate/38616503
2018,Hyundai Tucson,1.7 Diesel,287682,13995,https://www.donedeal.ie/cars-for-sale/2018-hyundai-tucson-1-7-d-executive-se/40735168
2014,Hyundai i40,1.7 Diesel,168798,6995,https://www.donedeal.ie/cars-for-sale/2014-hyundai-i40-executive-1-7-diesel/40174406
2017,Hyundai Tucson,1.7 Diesel,215788,12995,https://www.donedeal.ie/cars-for-sale/2017-hyundai-tucson-1-7d-premium/40034314
2016,Hyundai Tucson,1.7 Diesel,178000,10950,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-1-7crdi-manual/40797949
2012,Hyundai ix35,2.0 Diesel,235214,6495,https://www.donedeal.ie/cars-for-sale/2012-hyundai-ix35-2-0-diesel-4wd-automatic/39171354
2016,Hyundai Tucson,2.0 Diesel,121707,14995,https://www.donedeal.ie/cars-for-sale/2016-hyundai-tucson-2-0-d-executive-4wd/40672346
2016,Hyundai Tucson,1.7 Diesel,316608,9495,https://www.donedeal.ie/cars-for-sale/2016-hyundai-tucson-1-7d-comfort/40237045
2017,Hyundai Tucson,1.7 Diesel,181097,13995,https://www.donedeal.ie/cars-for-sale/2017-hyundai-tucson-1-7d-premium/39762764
2014,Hyundai ix35,1.7 Diesel,215000,7950,https://www.donedeal.ie/cars-for-sale/hyundai-ix35-2014/40664900
2017,Hyundai Tucson,1.7 Diesel,173808,15250,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-2017/40664860
2016,Hyundai Tucson,1.7 Diesel,233354,11950,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-2016/40459754
2016,Hyundai i30,1.6 Diesel,209214,9500,https://www.donedeal.ie/cars-for-sale/hyundai-i30-2016/40453187
2017,Hyundai Tucson,1.7 Diesel,133575,16950,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-se-nav-b-drive-2wd-crdi-blue-drive/40796803
2017,Hyundai i20,1.2 Petrol,69777,13995,https://www.donedeal.ie/cars-for-sale/hyundai-i20-2017-1-2-deluxe/40035075
2022,Hyundai Tucson,1.6 Petrol Plug-in Hybrid,98882,30950,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-ultimate-tgdi-phev-t-gdi/40610787
2015,Hyundai i30,1.6 Diesel,175601,10250,https://www.donedeal.ie/cars-for-sale/hyundai-i30-se-blue-drive-crdi/40610788
2016,Hyundai Tucson,1.7 Diesel,151553,14550,https://www.donedeal.ie/cars-for-sale/2016-hyundai-tucson-se-nav-b-drive-1-7-crdi-94k/40643794
2016,Hyundai Tucson,1.7 Diesel,189514,12450,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-1-7-diesel-2016-mint/39995893
2016,Hyundai i30,1.4 Petrol,87000,11250,https://www.donedeal.ie/cars-for-sale/2016-hyundai-i30-deluxe-4dr-5dr/40756985
2019,Hyundai Tucson,1.6 Diesel,164000,18250,https://www.donedeal.ie/cars-for-sale/2019-hyundai-tucson-ix35-4wd-executive-plus-5dr/40424118
2016,Hyundai i40,1.7 Diesel,212825,9995,https://www.donedeal.ie/cars-for-sale/2016-hyundai-i40-1-7-diesel-executive-plus/40735186
2014,Hyundai i30,1.6 Diesel,165000,6950,https://www.donedeal.ie/cars-for-sale/hyundai-i30-2014/40734167
2021,Hyundai Tucson,1.6 Diesel,158150,24950,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-tucson-executive-commercial-5d-vat/40731850
2018,Hyundai Santa Fe,2.2 Diesel,211000,21900,https://www.donedeal.ie/cars-for-sale/hyundai-santa-fe-executive-4wd-5dr/38021575
2022,Hyundai Santa Fe,1.6 Petrol Plug-in Hybrid,107200,41900,https://www.donedeal.ie/cars-for-sale/hyundai-santa-fe-phev-7-seater-5dr-auto/39792871
2015,Hyundai Santa Fe,2.2 Diesel,193120,14900,https://www.donedeal.ie/cars-for-sale/hyundai-santa-fe-2-2-crdi-premium-5dr-4wd/34520394
2015,Hyundai ix35,1.7 Diesel,233252,12900,https://www.donedeal.ie/cars-for-sale/hyundai-ix35-s-5dr/35825408
2016,Hyundai Tucson,1.7 Diesel,173808,13495,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-1-7-crdi-se-bl-dr-5dr/40053947
2019,Hyundai Santa Fe,2.2 Diesel,136482,27900,https://www.donedeal.ie/cars-for-sale/hyundai-santa-fe-2wd-executive-plus-5dr/39190095
2023,Hyundai i20,1.2 Petrol,55314,22500,https://www.donedeal.ie/cars-for-sale/hyundai-i20-hyundia-i20-like-new-1-2-petrol/40708278
2025,Hyundai Ioniq,Electric,10,46950,https://www.donedeal.ie/cars-for-sale/hyundai-ioniq-6-ioniq-6-elegance-77kwh/40458138
2022,Hyundai Tucson,1.6 Diesel,66500,35950,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-2wd-executive-plus/40431344
2025,Hyundai i20,1.2 Petrol,18860,23450,https://www.donedeal.ie/cars-for-sale/hyundai-i20-i20-deluxe-plus/40427368
2025,Hyundai Tucson,1.6 Diesel,12000,40950,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-tucson-fl-executive/40427349
2025,Hyundai Tucson,1.6 Diesel,18750,38950,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-tucson-fl-comfort-plus/40427343
2025,Hyundai Tucson,1.6 Diesel,16500,44900,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-tucson-fl-executive-plus/40288011
2023,Hyundai Tucson,1.6 Diesel,36000,35950,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-2wd-executive/40239273
2023,Hyundai Bayon EXECUTIVE,1.0 Petrol,31095,24950,https://www.donedeal.ie/cars-for-sale/hyundai-bayon-bayon-executive-auto/40209424
2025,Hyundai Ioniq,Electric,10,80995,https://www.donedeal.ie/cars-for-sale/hyundai-ioniq-9-platinum/40177756
2017,Hyundai i20,1.2 Petrol,85314,13950,https://www.donedeal.ie/cars-for-sale/hyundai-i20-1-2-classic/40122358
2023,Hyundai Tucson,1.6 Diesel,100863,32950,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-2wd-executive/40042732
2024,Hyundai Tucson,1.6 Diesel,31515,39950,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-executive-plus/39739067
