year,name,engine_size,mileage(km),price(eur),link
2018,Kia Venga,1.4 Diesel,133252,12450,https://www.donedeal.ie/cars-for-sale/kia-venga-1-4-elite-diesel-5dr/38898151
2014,Kia Sportage,1.7 Diesel,210010,8995,https://www.donedeal.ie/cars-for-sale/2014-kia-sportage-1-7d-gse-2wd/40562506
2012,Kia Sportage,1.7 Diesel,223968,5995,https://www.donedeal.ie/cars-for-sale/2012-kia-sportage-1-7-dsl-4x2-gse/39917265
2017,Kia Sportage,2.0 Petrol,116919,16995,https://www.donedeal.ie/cars-for-sale/2017-kia-sportage-automatic-2-0-petrol/38905433
2018,Kia Sportage,1.7 Diesel,138602,18500,https://www.donedeal.ie/cars-for-sale/kia-sportage-2-crdi-isg/40518315
2014,Kia Picanto,1.0 Petrol,93341,5250,https://www.donedeal.ie/cars-for-sale/kia-picanto-2014/38811479
2018,Kia Ceed,1.4 Diesel,219428,10995,https://www.donedeal.ie/cars-for-sale/2018-kia-ceed-1-4-ex-diesel/40062958
2019,Kia Sportage,1.6 Diesel,111311,20495,https://www.donedeal.ie/cars-for-sale/2019-kia-sportage-1-6-crdi-automatic/39359305
2017,Kia Sportage,1.7 Diesel,279000,10995,https://www.donedeal.ie/cars-for-sale/2017-kia-sportage-lx-1-7d/39081099
2016,Kia Rio,1.2 Petrol,215051,6495,https://www.donedeal.ie/cars-for-sale/2016-kia-rio-1-2-petrol/39194346
2018,Kia Ceed,1.6 Diesel,146087,14500,https://www.donedeal.ie/cars-for-sale/kia-proceed-ceed-gt-line-sam-3dr/40120073
2018,Kia Sportage,1.7 Diesel,173808,14750,https://www.donedeal.ie/cars-for-sale/kia-sportage-2018/40047085
2023,Kia Sportage,1.6 Diesel,79697,31000,https://www.donedeal.ie/cars-for-sale/kia-sportage-like-new-top-sepc-k4-model-full-l/40095040
2022,Kia Ceed,1.0 Petrol,48280,21750,https://www.donedeal.ie/cars-for-sale/kia-xceed-2-isg/40751627
2017,Kia Sportage,1.7 Diesel,289932,11495,https://www.donedeal.ie/cars-for-sale/2017-kia-sportage-1-7d-platinum/40246117
2013,Kia Sportage,1.7 Diesel,254441,6295,https://www.donedeal.ie/cars-for-sale/2013-kia-sportage-1-7-lx-dsl/40062862
2017,Kia Sportage,2.0 Diesel,229390,12495,https://www.donedeal.ie/cars-for-sale/2017-kia-sportage-platinum-2-0-4wd/39195764
2018,Kia Ceed,1.4 Diesel,196239,11995,https://www.donedeal.ie/cars-for-sale/2018-kia-ceed-ex-1-4-crdi-90-hp/39195141
2013,Kia Carens,1.7 Diesel,215749,5995,https://www.donedeal.ie/cars-for-sale/2013-kia-carens-1-7d-tx-crdi-7-seats/40333386
2016,Kia Sportage,1.7 Diesel,148522,13495,https://www.donedeal.ie/cars-for-sale/2016-kia-sportage-1-7d-lx/40673185
2019,Kia Sportage,1.6 Diesel,152887,21000,https://www.donedeal.ie/cars-for-sale/kia-sportage-2019/40459839
2021,Kia Niro,1.6 Petrol Hybrid,102354,22950,https://www.donedeal.ie/cars-for-sale/kia-niro-2-hev-s-a/37281059
2017,Kia Sportage,1.7 Diesel,236572,10950,https://www.donedeal.ie/cars-for-sale/2017-kia-sportage-1-7-diesel-finance-available/40152841
2018,Kia Venga,1.4 Diesel,94533,12950,https://www.donedeal.ie/cars-for-sale/kia-venga-2018/40028729
2022,Kia EV6,77.5 kWh Electric,67771,31950,https://www.donedeal.ie/cars-for-sale/kia-ev6-2022/40500821
2018,Kia Sportage,1.7 Diesel,124127,18450,https://www.donedeal.ie/cars-for-sale/kia-sportage-lx-5dr/40363421
2017,Kia Sportage,1.7 Diesel,151277,16950,https://www.donedeal.ie/cars-for-sale/kia-sportage-2-crdi-isg/40637396
2018,Kia Sportage,1.7 Diesel,160665,16950,https://www.donedeal.ie/cars-for-sale/kia-sportage-1-crdi-isg/40361752
2017,Kia Ceed,1.6 Diesel,110793,13950,https://www.donedeal.ie/cars-for-sale/2017-kia-pro-ceed-gt-line-s-1-6crdi-68k-miles/40115246
2017,Kia Sportage,1.7 Diesel,119953,16950,https://www.donedeal.ie/cars-for-sale/2017-kia-sportage-two-1-7-crdi-isg-just-74k-mls/40679595
2022,Kia Sportage,1.6 Diesel,56294,30950,https://www.donedeal.ie/cars-for-sale/2022-kia-sportage-1-6-crdi/40028383
2021,Kia Niro,Electric,20499,25000,https://www.donedeal.ie/cars-for-sale/kia-e-niro-loaded-with-extras-ev-e-niro-204-bhp/40489555
2017,Kia Sportage,1.7 Diesel,166000,16250,https://www.donedeal.ie/cars-for-sale/2017-kia-sportage-ex-5dr/40757029
2013,Kia Rio,1.2 Petrol,210501,6250,https://www.donedeal.ie/cars-for-sale/2013-kia-rio-1-25-1-5dr/40757011
2015,Kia Ceed,1.6 Diesel,160934,9750,https://www.donedeal.ie/cars-for-sale/2015-kia-ceed-ceed-1-ecodynamics-5dr/40756996
2014,Kia Carens,1.7 Diesel,245900,7250,https://www.donedeal.ie/cars-for-sale/2014-kia-carens-1-7-ex-5dr/40424409
2016,Kia Rio,1.2 Petrol,120000,9250,https://www.donedeal.ie/cars-for-sale/2016-kia-rio-ex-1-25-my2015-5dr/40424433
2016,Kia Rio,1.2 Petrol,77248,10500,https://www.donedeal.ie/cars-for-sale/kia-rio-2016/30136359
2018,Kia Ceed,1.6 Diesel,114263,14950,https://www.donedeal.ie/cars-for-sale/kia-ceed-2-isg-crdi/40755456
2017,Kia Ceed,1.6 Diesel,143683,11950,https://www.donedeal.ie/cars-for-sale/kia-ceed-1-isg-crdi/40610809
2017,Kia Rio,1.4 Diesel,140252,11950,https://www.donedeal.ie/cars-for-sale/kia-rio-2-crdi/40460017
2023,Kia Niro,64.8 kWh Electric,68000,29995,https://www.donedeal.ie/cars-for-sale/kia-niro-ev-k4-5dr-auto-0-finance-free-home-cha/40187048
