year,name,engine_size,mileage(km),price(eur),link
2017,Mercedes-Benz AMG,2.0 Diesel,176673,19995,https://www.donedeal.ie/cars-for-sale/2017-mercedes-benz-e220d-amg-line-2-0-automatic/38962181
2015,Mercedes-Benz CLA,2.1 Diesel,240897,11995,https://www.donedeal.ie/cars-for-sale/2015-mercedes-benz-2-1-diesel-c-class-auto/39912648
2015,Mercedes-Benz A 1.5 CDI Sport,1.5 Diesel,207101,10495,https://www.donedeal.ie/cars-for-sale/2015-mercedes-benz-a-1-5-cdi-sport/39809426
2017,Mercedes-Benz C200,1.6 Diesel,236627,15995,https://www.donedeal.ie/cars-for-sale/2017-mercedes-benz-c200d-avantgarde-1-6-automatic/39251316
2020,Mercedes-Benz A-Class,1.5 Diesel,128715,29900,https://www.donedeal.ie/cars-for-sale/mercedes-benz-a-class-amg-line-d-auto/39062122
2008,Mercedes-Benz SLK  Automatic,1.8 Petrol,184000,9750,https://www.donedeal.ie/cars-for-sale/mercedes-benz-slk-2008-automatic/40799860
2020,Mercedes-Benz CLA,2.3 Diesel,166000,26950,https://www.donedeal.ie/cars-for-sale/mercedes-benz-x-class-x-klasse-220-xkl-4x4-progres/40782143
2017,Mercedes-Benz E-Class,2.0 Diesel,234521,18995,https://www.donedeal.ie/cars-for-sale/2017-mercedes-benz-e-class-e220-amg-line-automatic/40585916
2017,Mercedes-Benz CLA,2.1 Diesel,190000,15950,https://www.donedeal.ie/cars-for-sale/mercedes-benz-cla-2017/40582480
2012,Mercedes-Benz C220 SE 2.1 CDI,2.1 Diesel,333133,5750,https://www.donedeal.ie/cars-for-sale/2012-mercedes-benz-c220-se-2-1-cdi/40711339
2016,Mercedes-Benz C-Class,2.1 Diesel,129847,14750,https://www.donedeal.ie/cars-for-sale/mercedes-benz-c-class-1-owner-2016/40545290
2022,Mercedes-Benz GLB,2.0 Diesel,78044,43950,https://www.donedeal.ie/cars-for-sale/mercedes-benz-glb-2022/40476242
2015,Mercedes-Benz B-Class,1.6 Petrol,61525,14950,https://www.donedeal.ie/cars-for-sale/mercedes-benz-b-class-b180-petrol-automatic/40755180
2014,Mercedes-Benz A-Class,1.6 Petrol,123204,13950,https://www.donedeal.ie/cars-for-sale/mercedes-benz-a-class-a180-1-6-petrol-automatic/40751491
2015,Mercedes-Benz B-Class,1.6 Petrol,54846,14950,https://www.donedeal.ie/cars-for-sale/mercedes-benz-b-class-b180-petrol-automatic/40751481
2014,Mercedes-Benz E-Class,2.1 Diesel,296117,11250,https://www.donedeal.ie/cars-for-sale/mercedes-benz-e-class-2014/39219161
2016,Mercedes-Benz C-Class,2.1 Diesel,291877,11995,https://www.donedeal.ie/cars-for-sale/2016-mercedes-benz-c-class-c-220-2-1d-automatic/40673284
2015,Mercedes-Benz E-Class,2.1 Diesel,282920,13950,https://www.donedeal.ie/cars-for-sale/mercedes-benz-e-class-2015/36554203
2016,Mercedes-Benz CLA,1.6 Petrol,80082,19900,https://www.donedeal.ie/cars-for-sale/mercedes-benz-cla-cla-180-1-6-auto/40588766
2015,Mercedes-Benz A-Class,1.6 Petrol,117863,14950,https://www.donedeal.ie/cars-for-sale/mercedes-benz-a-class-automatic-1-6-petrol/40554355
2015,Mercedes-Benz CLA,1.6 Petrol,90444,19300,https://www.donedeal.ie/cars-for-sale/mercedes-benz-cla-2015-merc-cla180-amg-1-6-petrol/40459955
2015,Mercedes-Benz C-Class,2.1 Diesel,193120,16950,https://www.donedeal.ie/cars-for-sale/mercedes-benz-c-class-now-reserved/38522395
