year,name,engine_size,mileage(km),price(eur),link
2016,Nissan Qashqai,1.5 Diesel,212000,11950,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-1-5-sv-my16-nc-e6-4dr/38980440
2016,Nissan Qashqai,1.6 Diesel,223841,11995,https://www.donedeal.ie/cars-for-sale/2016-nissan-qashqai-1-6-dsl-automatic/40735125
2017,Nissan Note,1.5 Diesel,102527,8995,https://www.donedeal.ie/cars-for-sale/2017-nissan-note-1-5-diesel/40072300
2019,Nissan Qashqai,1.5 Diesel,154932,19950,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-1-5-dci-n-connecta-115-115ps-5dr/36734996
2018,Nissan Qashqai,1.2 Petrol,66300,16950,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-2018/40808929
2013,Nissan March,1.2 Petrol,111000,6950,https://www.donedeal.ie/cars-for-sale/nissan-march-2013-automatic-new-nct/40662640
2011,Nissan Juke,1.5 Diesel,235555,4495,https://www.donedeal.ie/cars-for-sale/2011-nissan-juke-1-5-turbodiesel-dci-sv/40626721
2014,Nissan Juke,1.5 Diesel,260022,5795,https://www.donedeal.ie/cars-for-sale/2014-nissan-juke-1-5d-sv/40534532
2017,Nissan Qashqai,1.5 Diesel,225643,11995,https://www.donedeal.ie/cars-for-sale/2017-nissan-qashqai-1-5-dsl-premium/40434341
2013,Nissan Juke,1.5 Diesel,207474,5995,https://www.donedeal.ie/cars-for-sale/2013-nissan-juke-1-5-diesel/39982921
2016,Nissan Qashqai,1.2 Petrol,106499,12495,https://www.donedeal.ie/cars-for-sale/2016-nissan-qashqai-1-2-xe-petrol/39917158
2017,Nissan Qashqai,1.5 Diesel,217373,11995,https://www.donedeal.ie/cars-for-sale/2017-nissan-qashqai-1-5-dsl-sv/40434256
2014,Nissan Qashqai,1.5 Diesel,278481,6195,https://www.donedeal.ie/cars-for-sale/2014-nissan-qashqai-1-5-dsl-xe/40340461
2016,Nissan Note,1.2 Petrol,31921,8995,https://www.donedeal.ie/cars-for-sale/2016-nissan-note-1-2-sport-petrol/40237004
2017,Nissan X-Trail,1.6 Diesel,256184,12495,https://www.donedeal.ie/cars-for-sale/2017-nissan-x-trail-1-6d-sve-7-seats/40332943
2016,Nissan Qashqai,1.2 Petrol,88672,11995,https://www.donedeal.ie/cars-for-sale/2016-nissan-qashqai-1-2-petrol-xe/39883031
2014,Nissan Qashqai,1.5 Diesel,312707,6495,https://www.donedeal.ie/cars-for-sale/2014-nissan-qashqai-1-5-dsl-sv/39815551
2018,Nissan Micra,1.0 Petrol,181976,8995,https://www.donedeal.ie/cars-for-sale/2018-nissan-micra-1-0-sv-petrol/40639118
2014,Nissan Juke,1.6 Petrol,69963,7995,https://www.donedeal.ie/cars-for-sale/2014-nissan-juke-1-6-xe-petrol/40586056
2016,Nissan X-Trail,1.6 Diesel,138699,12995,https://www.donedeal.ie/cars-for-sale/2016-nissan-x-trail-1-6d-xe-5-seater/40625953
2015,Nissan Qashqai,1.5 Diesel,209421,9195,https://www.donedeal.ie/cars-for-sale/2015-nissan-qashqai-1-5-dsl-xe/40585990
2015,Nissan Qashqai,1.5 Diesel,251432,8995,https://www.donedeal.ie/cars-for-sale/2015-nissan-qashqai-1-5-dsl-sv/40585898
2017,Nissan Qashqai,1.5 Diesel,239194,10995,https://www.donedeal.ie/cars-for-sale/2017-nissan-qashqai-1-5d-sv/40295098
2016,Nissan Qashqai,1.2 Petrol,86715,11995,https://www.donedeal.ie/cars-for-sale/2016-nissan-qashqai-1-2-petrol-xe/40230633
2015,Nissan Qashqai,1.5 Diesel,197606,9195,https://www.donedeal.ie/cars-for-sale/2015-nissan-qashqai-1-5d-sv/39919086
2018,Nissan Juke,1.2 Petrol,79909,12495,https://www.donedeal.ie/cars-for-sale/2018-nissan-juke-1-2-petrol-sv-premium/39816496
2020,Nissan X-Trail,1.7 Diesel,201310,18995,https://www.donedeal.ie/cars-for-sale/2020-nissan-x-trail-sv-1-7-dci-150hp-5-seater/39146689
2014,Nissan Qashqai,1.5 Diesel,202931,8495,https://www.donedeal.ie/cars-for-sale/2014-nissan-qashqai-1-5-dsl-xe/40674116
2016,Nissan Qashqai,1.5 Diesel,187785,10995,https://www.donedeal.ie/cars-for-sale/2016-nissan-qashqai-1-5-dsl-sv/40526984
2018,Nissan X-Trail,1.6 Diesel,244914,14995,https://www.donedeal.ie/cars-for-sale/2018-nissan-x-trail-1-6d-sve-4x4-5-seater/40333009
2019,Nissan Micra,1.0 Petrol,172291,9995,https://www.donedeal.ie/cars-for-sale/2019-nissan-micra-1-0t-sv-petrol/40237022
2015,Nissan Qashqai,1.2 Petrol,116669,10495,https://www.donedeal.ie/cars-for-sale/2015-nissan-qashqai-1-2-sv-petrol/40174838
2017,Nissan Pulsar,1.5 Diesel,152600,11900,https://www.donedeal.ie/cars-for-sale/nissan-pulsar-1-5-sv-executive-4dr/38496090
2014,Nissan Qashqai,1.2 Petrol,200000,7950,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-2014/40531119
2014,Nissan Qashqai,1.5 Diesel,210000,7950,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-2014/40664834
2020,Nissan Qashqai,1.5 Diesel,143366,21900,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-n-connecta-dci/40336208
2019,Nissan Qashqai,1.5 Diesel,196213,16450,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-acenta-premium-dc/39996758
2017,Nissan Serena,2.0 Petrol Hybrid,128000,18950,https://www.donedeal.ie/cars-for-sale/8-seater-auto-nissan-serena-2017/40500840
2019,Nissan Qashqai,1.5 Diesel,43200,22950,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-acenta-premium-dc-automatic/37205411
2019,Nissan Qashqai,1.5 Diesel,91732,17950,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-n-connecta-dci/37794334
2018,Nissan Qashqai,1.2 Petrol,145158,14995,https://www.donedeal.ie/cars-for-sale/2018-nissan-qashqai-1-2-petrol-sv-premium/40779155
2019,Nissan Qashqai,1.5 Diesel,183424,16250,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-acenta-premium-2019/38647149
2016,Nissan Micra,1.2 Petrol,184436,6500,https://www.donedeal.ie/cars-for-sale/nissan-micra-30-1-2-5dr-cvt/40735668
2017,Nissan X-Trail,1.6 Diesel,150600,15250,https://www.donedeal.ie/cars-for-sale/2017-nissan-x-trail-1-6-dci-tekna-128bhp-n-connect/40757050
