year,name,engine_size,mileage(km),price(eur),link
2025,Renault Captur,1.6 Petrol Hybrid,200,36950,https://www.donedeal.ie/cars-for-sale/renault-captur-e-tech-hybrid-145-auto-techno/39163328
2014,Renault Clio,1.5 Diesel,163784,6495,https://www.donedeal.ie/cars-for-sale/2014-renault-clio-1-5-dci-eco-expression/40626070
2023,Renault Arkana,1.6 Petrol,6575,31490,https://www.donedeal.ie/cars-for-sale/renault-arkana-e-tech-hybrid-145-auto-techno/36601950
2025,Renault 5 E-Tech Available to order,52 kWh Electric,17,35295,https://www.donedeal.ie/cars-for-sale/renault-5-e-tech-available-to-order/39406219
2024,Renault Arkana,1.6 Petrol,9928,36950,https://www.donedeal.ie/cars-for-sale/renault-arkana-e-tech-hybrid-145-auto-esprit-alpi/37913047
2013,Renault Fluence,1.5 Diesel,233000,3995,https://www.donedeal.ie/cars-for-sale/2013-renault-fluence-1-5-dci-expression/40674094
2017,Renault Kadjar,1.6 Diesel,256264,9995,https://www.donedeal.ie/cars-for-sale/2017-renault-kadjar-1-6-dci-130-energy-dynamique-s/39558996
2017,Renault Kadjar,1.5 Diesel,246417,9995,https://www.donedeal.ie/cars-for-sale/2017-renault-kadjar-1-5-dci-dynamique-s-nav/39195393
2017,Renault Kadjar,1.6 Diesel,208461,10995,https://www.donedeal.ie/cars-for-sale/2017-renault-kadjar-dynamique-s-nav-4wd-1-6-130/39194788
2023,Renault Captur,1.6 Petrol Hybrid,11383,29950,https://www.donedeal.ie/cars-for-sale/renault-captur-e-tech-hybrid-145-auto-techno/38875986
2019,Renault Kadjar,1.5 Diesel,103222,18950,https://www.donedeal.ie/cars-for-sale/renault-kadjar-1-5-dci-110-energy-dynamique-s-nav/37890133
2023,Renault Arkana,1.6 Petrol,11113,31490,https://www.donedeal.ie/cars-for-sale/renault-arkana-e-tech-hybrid-145-auto-techno/36357057
2011,Renault Megane,1.5 Diesel,285152,2995,https://www.donedeal.ie/cars-for-sale/2011-renault-megane-1-5-royale-dci-90-eco2/40536036
2016,Renault Kadjar,1.5 Diesel,177609,9995,https://www.donedeal.ie/cars-for-sale/2016-renault-kadjar-1-5-dci-110-energy-dynamique/39765982
2017,Renault Captur,1.5 Diesel,128165,9995,https://www.donedeal.ie/cars-for-sale/2017-renault-captur-expression-1-5-dci-90hp/38476372
2018,Renault Captur,0.9 Petrol,149435,11495,https://www.donedeal.ie/cars-for-sale/2018-renault-captur-0-9-petrol-signx/37310129
2017,Renault Captur,1.5 Diesel,147687,9995,https://www.donedeal.ie/cars-for-sale/2017-renault-captur-1-5-dci-intense/37728530
2020,Renault Captur,0.9 Petrol,21181,16950,https://www.donedeal.ie/cars-for-sale/renault-captur-0-9-tce-90-play/36396976
2025,Renault Symbioz,1.6 Petrol Hybrid,20,38950,https://www.donedeal.ie/cars-for-sale/renault-symbioz-2025/40217989
2016,Renault Scenic,1.5 Diesel,210667,7695,https://www.donedeal.ie/cars-for-sale/2016-renault-grand-scenic-limited-1-5-7-seater/39297143
2018,Renault Kadjar,1.6 Diesel,282843,10995,https://www.donedeal.ie/cars-for-sale/2018-renault-kadjar-1-6d-4wd-signature-nav-130hp/38962146
2012,Renault Fluence,1.5 Diesel,244075,3495,https://www.donedeal.ie/cars-for-sale/2012-renault-fluence-1-5-dci-dynamique/40798114
2018,Renault Captur,1.5 Diesel,122309,12750,https://www.donedeal.ie/cars-for-sale/renault-captur-dynamique-nav-dci/39836604
2014,Renault Clio,1.5 Diesel,220020,6495,https://www.donedeal.ie/cars-for-sale/2014-renault-clio-1-5-dci-r-link/40230661
2023,Renault Arkana,1.6 Petrol,23655,31490,https://www.donedeal.ie/cars-for-sale/renault-arkana-e-tech-engineered-hybrid-145-auto/37575326
2013,Renault Scenic,1.5 Diesel,253000,3950,https://www.donedeal.ie/cars-for-sale/renault-grand-scenic-1-5-dci-dynamique-tt-luxury-s/40478165
2015,Renault Captur,1.5 Diesel,197559,8995,https://www.donedeal.ie/cars-for-sale/2015-renault-captur-1-5d-dci-s-s-life/40791077
2019,Renault Megane,1.3 Petrol,92186,16950,https://www.donedeal.ie/cars-for-sale/renault-megane-2019/40689358
2018,Renault Captur,1.5 Diesel,109435,12750,https://www.donedeal.ie/cars-for-sale/renault-captur-dynamique-nav-dci/39836603
2017,Renault Captur,1.5 Diesel,192000,9950,https://www.donedeal.ie/cars-for-sale/renault-captur-2017/40730996
2018,Renault Kadjar,1.5 Diesel,145805,17950,https://www.donedeal.ie/cars-for-sale/renault-kadjar-2018/40730971
2021,Renault Captur,1.0 Petrol,48700,19950,https://www.donedeal.ie/cars-for-sale/renault-captur-2021/40641175
2025,Renault Austral,1.2 Petrol Hybrid,4000,46895,https://www.donedeal.ie/cars-for-sale/renault-austral-2025/40625932
2024,Renault Arkana,1.6 Petrol,11,36450,https://www.donedeal.ie/cars-for-sale/renault-arkana-e-tech-hybrid-145-auto-techno/37858450
2024,Renault Rafale E-tech Hybrid 200 Esprit Alpine +,1.2 Petrol Hybrid,15000,52950,https://www.donedeal.ie/cars-for-sale/renault-rafale-e-tech-hybrid-200-esprit-alpine/37512841
2017,Renault Megane,1.5 Diesel,120233,12495,https://www.donedeal.ie/cars-for-sale/2017-renault-megane-1-5-dci-gt-line-nav/40777297
2025,Renault 5 E-Tech Iconic 52kWh 150hp,52 kWh Electric,150,33450,https://www.donedeal.ie/cars-for-sale/renault-5-e-tech-iconic-52kwh-150hp/39322332
2025,Renault Scenic,87 kWh Electric,2000,48950,https://www.donedeal.ie/cars-for-sale/renault-scenic-e-tech-87kwh-iconic-esprit-alpine/40219079
2022,Renault Clio,1.0 Petrol,77250,15950,https://www.donedeal.ie/cars-for-sale/renault-clio-2022/40528216
2015,Renault Captur,1.5 Diesel,252823,8500,https://www.donedeal.ie/cars-for-sale/renault-captur-2015-dci-90-s-s-intense/40034845
2014,Renault Clio,1.2 Petrol,73366,9900,https://www.donedeal.ie/cars-for-sale/renault-clio-gt-1-2-petrol-automatic/40753294
2016,Renault Clio,1.2 Petrol,119998,11900,https://www.donedeal.ie/cars-for-sale/renault-clio-1-2-petrol-automatic/40751522
2019,Renault Captur,1.5 Diesel,114600,15995,https://www.donedeal.ie/cars-for-sale/2019-renault-captur-1-5-dci-iconic/40730773
2024,Renault Clio,1.0 Petrol,33000,22995,https://www.donedeal.ie/cars-for-sale/renault-clio-evolution-tce-90-e6e-5dr-straight-dea/39591519
2019,Renault Kadjar,1.5 Diesel,104000,18495,https://www.donedeal.ie/cars-for-sale/renault-kadjar-dynamique-s-nav-energy-4dr/40075193
2016,Renault Scenic,1.5 Diesel,90417,11900,https://www.donedeal.ie/cars-for-sale/renault-grand-scenic-scenic-3-bose-1-5-dci-110-4dr/36868865
2016,Renault Captur,1.5 Diesel,153000,9900,https://www.donedeal.ie/cars-for-sale/renault-captur-intense-1-5-dci-90-eu6m-4dr/36813967
2019,Renault Megane,1.3 Petrol,101000,15500,https://www.donedeal.ie/cars-for-sale/renault-megane-signature-tce-140-gpf-m-tce140-4dr/35255823
2020,Renault Kadjar,1.5 Diesel,113764,22500,https://www.donedeal.ie/cars-for-sale/renault-kadjar-1-5-diesel-s-edition/39481841
2019,Renault Kadjar,1.5 Diesel,180000,17750,https://www.donedeal.ie/cars-for-sale/renault-kadjar-1-5-diesel-gt-line/39665946
2019,Renault Kadjar,1.5 Diesel,161000,16950,https://www.donedeal.ie/cars-for-sale/renault-kadjar-1-5-diesel-115-iconic/37679169
2017,Renault Scenic,1.5 Diesel,197406,13950,https://www.donedeal.ie/cars-for-sale/renault-grand-scenic-2017/38858306
2016,Renault Kadjar,1.5 Diesel,246000,9995,https://www.donedeal.ie/cars-for-sale/renault-kadjar-signature-nav-energy-dc-4dr/40561789
2014,Renault Captur,1.2 Petrol,121117,10950,https://www.donedeal.ie/cars-for-sale/renault-captur-1-2-petrol-automatic/40561690
2016,Renault Captur,1.2 Petrol,35600,14250,https://www.donedeal.ie/cars-for-sale/renault-captur-automatic-1-2-petrol/40554358
2014,Renault Clio,1.1 Petrol,165000,6500,https://www.donedeal.ie/cars-for-sale/renault-clio-2014/40345614
2015,Renault Fluence,1.5 Diesel,210000,7500,https://www.donedeal.ie/cars-for-sale/renault-fluence-2015/39812531
2016,Renault Scenic,1.5 Diesel,210667,7695,https://www.donedeal.ie/cars-for-sale/2016-renault-grand-scenic-limited-1-5-7-seater/39297143
2015,Renault Fluence,1.5 Diesel,210000,7500,https://www.donedeal.ie/cars-for-sale/renault-fluence-2015/39812531
