year,name,engine_size,mileage(km),price(eur),link
2016,Toyota Prius,1.8 Petrol Hybrid,350000,7950,https://www.donedeal.ie/cars-for-sale/toyota-prius-2016-new-model-hybrid-petrol/40762687
2015,Toyota Verso 1.6 D-4D Aura 7 Seater,1.6 Diesel,231413,9495,https://www.donedeal.ie/cars-for-sale/2015-toyota-verso-1-6-d-4d-aura-7-seater/40639080
2016,Toyota RAV4,2.0 Diesel,213543,12995,https://www.donedeal.ie/cars-for-sale/2016-toyota-rav4-2-0-d-4d-2wd-luna/40639051
2019,Toyota Yaris,1.5 Petrol Hybrid,80304,18750,https://www.donedeal.ie/cars-for-sale/toyota-yaris-vvt-i-icon-tech/35828896
2023,Toyota Yaris,1.5 Petrol Hybrid,59562,27950,https://www.donedeal.ie/cars-for-sale/toyota-yaris-cross-luna-sport/40696627
2019,Toyota Yaris,1.5 Petrol Hybrid,80304,18750,https://www.donedeal.ie/cars-for-sale/toyota-yaris-vvt-i-icon-tech/35828895
2014,Toyota Avensis,2.0 Diesel,128747,11500,https://www.donedeal.ie/cars-for-sale/toyota-avensis-2014/26753137
2020,Toyota Corolla,1.8 Petrol Hybrid,126000,21500,https://www.donedeal.ie/cars-for-sale/toyota-corolla-hybrid-luna-h-b-4dr-auto/39745506
2016,Toyota RAV4,2.0 Diesel,257507,12495,https://www.donedeal.ie/cars-for-sale/2016-toyota-rav4-2-0-luna-sport-d-4d-2wd/40535928
2016,Toyota RAV4,2.0 Diesel,241079,12495,https://www.donedeal.ie/cars-for-sale/2016-toyota-rav4-black-2-0-2wd-luna-sport/39414452
2018,Toyota RAV4,2.0 Diesel,224284,16500,https://www.donedeal.ie/cars-for-sale/toyota-rav4-sport-2-0-d-4d-143hp-2wd-luna-sport/40798133
2022,Toyota C-HR,1.8 Petrol Hybrid,105432,25450,https://www.donedeal.ie/cars-for-sale/toyota-c-hr-2022-hybrid-auto-sol-model/40460837
2015,Toyota Avensis,2.0 Diesel,183457,9750,https://www.donedeal.ie/cars-for-sale/toyota-avensis-2015-2-0-d4d-sol-toyoyota-engine/40288507
2012,Toyota Yaris,1.0 Petrol,125529,6695,https://www.donedeal.ie/cars-for-sale/2012-toyota-yaris-1-0-vvt-i-3dr-terra-petrol/40697008
2015,Toyota Corolla,1.4 Diesel,260000,7450,https://www.donedeal.ie/cars-for-sale/2015-toyota-corolla-1-4-d4d-saloon/40705726
2021,Toyota RAV4,2.5 Petrol Hybrid,60511,34750,https://www.donedeal.ie/cars-for-sale/toyota-rav4-design-hev-4x2-cvt-vvt-i/40366023
2016,Toyota Avensis,1.6 Diesel,246000,7950,https://www.donedeal.ie/cars-for-sale/toyota-avensis-2016-diesel-1-6/39776447
2014,Toyota Prius,1.8 Petrol Hybrid,240000,8900,https://www.donedeal.ie/cars-for-sale/2014-toyota-prius-1-8-vvti-hybrid/40623082
2018,Toyota Yaris,1.3 Petrol,154496,11950,https://www.donedeal.ie/cars-for-sale/181-toyota-yaris-vitz-1-3-automatic/29300728
2017,Toyota Auris,1.6 Diesel,56326,17950,https://www.donedeal.ie/cars-for-sale/toyota-auris-business-edition-tss-d-d-4d-touring-s/40480558
2016,Toyota Corolla,1.3 Petrol,135348,11500,https://www.donedeal.ie/cars-for-sale/toyota-corolla-tiny-mileage-1-33-petrol-dual-vvt/40641384
2016,Toyota Aqua,1.5 Petrol Hybrid,68899,9450,https://www.donedeal.ie/cars-for-sale/toyota-aqua-hybrid-just-68kms-2016/40529447
2023,Toyota Corolla,1.8 Petrol Hybrid,51498,28950,https://www.donedeal.ie/cars-for-sale/toyota-corolla-icon-tech-hev-cvt-estate/40637406
2016,Toyota Yaris,1.0 Petrol,143760,9800,https://www.donedeal.ie/cars-for-sale/toyota-yaris-yaris-1-0-5dr-luna/40767484
2013,Toyota Yaris,1.0 Petrol,122000,8250,https://www.donedeal.ie/cars-for-sale/2013-toyota-yaris-1-0-luna-4dr/40424615
2023,Toyota Corolla,1.8 Petrol Hybrid,39449,34500,https://www.donedeal.ie/cars-for-sale/toyota-corolla-cross-1-8-self-charge-petrol-hybrid/40751493
2025,Toyota Corolla,1.8 Petrol Hybrid,10123,38800,https://www.donedeal.ie/cars-for-sale/toyota-corolla-cross-corolla-cross-1-8-luna/40751456
2017,Toyota RAV4,2.0 Diesel,220959,14495,https://www.donedeal.ie/cars-for-sale/2017-toyota-rav4-2-0-d-4d-luna-2wd/40734946
2021,Toyota C-HR,1.8 Petrol Hybrid,75100,25850,https://www.donedeal.ie/cars-for-sale/toyota-c-hr-1-8-hybrid-sportmono-4dr-auto-straigh/38882428
2018,Toyota Corolla,1.4 Diesel,124010,17800,https://www.donedeal.ie/cars-for-sale/toyota-corolla-corolla-1-4-d4d-luna/40722846
2018,Toyota Auris,1.8 Petrol Hybrid,104535,18500,https://www.donedeal.ie/cars-for-sale/toyota-auris-hybrid-luna-sport/40425065
2019,Toyota Yaris,1.5 Petrol Hybrid,107044,15950,https://www.donedeal.ie/cars-for-sale/toyota-yaris-yaris-hybrid-y20/40704158
2022,Toyota bZ4X,71.4 kWh Electric,15938,28888,https://www.donedeal.ie/cars-for-sale/toyota-bz4x-bz4x-sport/40703902
2018,Toyota Yaris,1.0 Petrol,149327,9750,https://www.donedeal.ie/cars-for-sale/toyota-yaris-2018/40689508
2017,Toyota RAV4,2.0 Diesel,188530,14950,https://www.donedeal.ie/cars-for-sale/toyota-rav4-2-0-d-4d-diesel-luna-sport/40550012
2023,Toyota Corolla,1.8 Petrol Hybrid,71000,28000,https://www.donedeal.ie/cars-for-sale/toyota-corolla-automatic-1-8-hybrid-luna-estate/40043153
2022,Toyota RAV4,2.5 Petrol Hybrid,58293,42800,https://www.donedeal.ie/cars-for-sale/toyota-rav4-rav4-hybrid-sport/40670304
2018,Toyota RAV4,2.0 Diesel,148331,17950,https://www.donedeal.ie/cars-for-sale/toyota-rav4-rav4-2-0-d-4d-luna-4dr/39787090
2016,Toyota Avensis,1.6 Diesel,230326,7950,https://www.donedeal.ie/cars-for-sale/toyota-avensis-1-6-d-aura-4dr/40153427
2017,Toyota Aqua,1.5 Petrol Hybrid,77449,11750,https://www.donedeal.ie/cars-for-sale/toyota-aqua-1-5-petrol-hybrid/40586349
2019,Toyota C-HR,1.8 Petrol Hybrid,111691,22900,https://www.donedeal.ie/cars-for-sale/toyota-c-hr-1-8-hybrid-petrol-high-spec/40561674
2024,Toyota Corolla,1.8 Petrol Hybrid,24000,36800,https://www.donedeal.ie/cars-for-sale/toyota-corolla-cross-corolla-cross-1-8-luna/40551263
2019,Toyota Prius,1.8 Petrol Hybrid,88191,18700,https://www.donedeal.ie/cars-for-sale/toyota-prius-automatic-self-charging-hybrid/39401691
2019,Toyota Vitz,1.0 Petrol,61895,14950,https://www.donedeal.ie/cars-for-sale/toyota-vitz-automatic-1-0-petrol/39793470
2019,Toyota Prius,1.8 Petrol Hybrid,90605,18800,https://www.donedeal.ie/cars-for-sale/toyota-prius-automatic-self-charging-hybrid/38926193
2019,Toyota Prius,1.8 Petrol Hybrid,100583,17950,https://www.donedeal.ie/cars-for-sale/toyota-prius-touring-edition-self-charging-hybrid/38943246
2019,Toyota Corolla,1.8 Petrol Hybrid,81271,19900,https://www.donedeal.ie/cars-for-sale/toyota-corolla-sport-automatic-self-charging-hybri/39086064
2019,Toyota Yaris,1.0 Petrol,101483,13500,https://www.donedeal.ie/cars-for-sale/toyota-yaris-automatic-1-0-petrol/40076774
2019,Toyota Vitz,1.0 Petrol,101483,13500,https://www.donedeal.ie/cars-for-sale/toyota-vitz-automatic-1-0-petrol/40076776
2019,Toyota C-HR,1.8 Petrol Hybrid,97039,20900,https://www.donedeal.ie/cars-for-sale/toyota-c-hr-1-8-petrol-hybrid/40083681
2018,Toyota C-HR,1.8 Petrol Hybrid,115568,19900,https://www.donedeal.ie/cars-for-sale/toyota-c-hr-1-8-petrol-hybrid/40084670
2019,Toyota Vitz,1.0 Petrol,63871,14750,https://www.donedeal.ie/cars-for-sale/toyota-vitz-automatic-1-0-petrol/40209540
2019,Toyota C-HR,1.8 Petrol Hybrid,84826,20900,https://www.donedeal.ie/cars-for-sale/toyota-c-hr-automatic-1-8-hybrid/40390794
2018,Toyota C-HR,1.8 Petrol Hybrid,104211,19900,https://www.donedeal.ie/cars-for-sale/toyota-c-hr-automatic-1-8-hybrid/40390796
2020,Toyota Prius,1.8 Petrol Hybrid,100137,19900,https://www.donedeal.ie/cars-for-sale/toyota-prius-automatic-self-charge-hybrid/40393862
2022,Toyota Corolla,1.8 Petrol Hybrid,51788,32950,https://www.donedeal.ie/cars-for-sale/toyota-corolla-cross-1-8-self-charge-hybrid-high-s/40541526
2016,Toyota Yaris,1.5 Petrol Hybrid,169099,11950,https://www.donedeal.ie/cars-for-sale/toyota-yaris-yaris-hybrid-luxury-mc/40528823
2025,Toyota Corolla,1.8 Petrol Hybrid,11932,33800,https://www.donedeal.ie/cars-for-sale/toyota-corolla-corolla-saloon-luna/40499414
2017,Toyota Corolla,1.4 Diesel,256000,13950,https://www.donedeal.ie/cars-for-sale/toyota-corolla-corolla-1-4-d4d-luna/40494287
2025,Toyota Yaris,1.5 Petrol Hybrid,14718,27800,https://www.donedeal.ie/cars-for-sale/toyota-yaris-yaris-hybrid-115-luna/40494280
2024,Toyota Corolla,1.8 Petrol Hybrid,16782,31800,https://www.donedeal.ie/cars-for-sale/toyota-corolla-corolla-luna-saloon/40494282
2012,Toyota Verso 2.0 D-4D TR 5DR 125BHP,2.0 Diesel,324692,5500,https://www.donedeal.ie/cars-for-sale/toyota-verso-2-0-d-4d-tr-5dr-125bhp/38470383
2020,Toyota Corolla,1.8 Petrol Hybrid,83197,21950,https://www.donedeal.ie/cars-for-sale/toyota-corolla-luna-sal-4dr-auto/40483703
2024,Toyota Yaris,1.5 Petrol,22259,24950,https://www.donedeal.ie/cars-for-sale/toyota-yaris-yaris-1-5-luna/40459817
2017,Toyota Yaris,1.3 Petrol,211222,8950,https://www.donedeal.ie/cars-for-sale/toyota-yaris-icon-vvt-i/40452826
2025,Toyota Yaris,1.5 Petrol Hybrid,6,27950,https://www.donedeal.ie/cars-for-sale/toyota-yaris-yaris-hybrid-1-5-luna/40440503
2014,Toyota Avensis,2.0 Diesel,236686,7950,https://www.donedeal.ie/cars-for-sale/toyota-avensis-2-0-d-4d-aura-4dr/39997744
