year,name,engine_size,mileage(km),price(eur),link
2019,Vauxhall Combo ENERGY CDTI S/S,1.5 Diesel,90121,21450,https://www.donedeal.ie/cars-for-sale/vauxhall-combo-energy-cdti-s-s/35828901
2015,Vauxhall Mokka,1.7 Diesel,216428,6695,https://www.donedeal.ie/cars-for-sale/2015-vauxhall-mokka-1-7-diesel/40527014
2017,Vauxhall Astra,1.6 Diesel,159349,7995,https://www.donedeal.ie/cars-for-sale/2017-vauxhall-astra-design-1-6-cdti-estate/38050723
2010,Vauxhall Meriva,1.4 Petrol,245545,2795,https://www.donedeal.ie/cars-for-sale/2010-vauxhall-meriva-1-4-exclusiv-petrol/40431347
2016,Vauxhall Insignia,1.6 Diesel,200222,6995,https://www.donedeal.ie/cars-for-sale/2016-vauxhall-insignia-1-6d-cdti/40333499
2022,Vauxhall Combo 2000 SPORTIVE TD,1.5 Diesel,144840,14950,https://www.donedeal.ie/cars-for-sale/vauxhall-combo-2000-sportive-td/40796801
2014,Vauxhall Zafira,1.4 Petrol,180000,3950,https://www.donedeal.ie/cars-for-sale/vauxhall-zafira-new-model-7-seats/38318365
2019,Vauxhall Grandland,1.5 Diesel,111044,17950,https://www.donedeal.ie/cars-for-sale/vauxhall-grandland-x-x-sport-nav-t-d/38457880
2019,Vauxhall Combo 2000 EDITION,1.5 Diesel,102643,10750,https://www.donedeal.ie/cars-for-sale/vauxhall-combo-2000-edition/36484791
2015,Vauxhall Mokka,1.4 Petrol,114000,6450,https://www.donedeal.ie/cars-for-sale/2015-vauxhall-mokka-1-4-petrol-jeep/40699397
2018,Vauxhall Astra,1.6 Diesel,185074,8950,https://www.donedeal.ie/cars-for-sale/vauxhall-astra-2018/40734181
2014,Vauxhall Astra,1.7 Diesel,189281,4850,https://www.donedeal.ie/cars-for-sale/2014-vauxhall-astra-1-7-cdti-limited-edition/39710506
2008,Vauxhall Zafira,1.9 Diesel,281634,2450,https://www.donedeal.ie/cars-for-sale/vauxhall-zafira-2008-one-owner/38368075
2017,Vauxhall Astra,1.6 Diesel,159349,7995,https://www.donedeal.ie/cars-for-sale/2017-vauxhall-astra-design-1-6-cdti-estate/38050723
