year,name,engine_size,mileage(km),price(eur),link
2019,Volkswagen Tiguan,2.0 Diesel,93514,26500,https://www.donedeal.ie/cars-for-sale/volkswagen-tiguan-2-0-tdi-150hp-comfortline/40671061
2017,Volkswagen Tiguan,2.0 Diesel,245425,15995,https://www.donedeal.ie/cars-for-sale/2017-volkswagen-tiguan-2-0-tdi-bmt-highline/40673239
2012,Volkswagen Jetta,1.6 Diesel,207834,6995,https://www.donedeal.ie/cars-for-sale/2012-volkswagen-jetta-1-6-tdi-automatic/40599025
2014,Volkswagen Tiguan,2.0 Diesel,160091,10995,https://www.donedeal.ie/cars-for-sale/2014-volkswagen-tiguan-2-0-tdi-110bhp-life-leisu/39637130
2018,Volkswagen Tiguan,2.0 Diesel,250231,21495,https://www.donedeal.ie/cars-for-sale/2018-volkswagen-tiguan-2-0-tdi-automatic-highline/39557055
2016,Volkswagen Golf,1.6 Diesel,220000,9950,https://www.donedeal.ie/cars-for-sale/volkswagen-golf-sv-1-6-tdi-s-109ps-5dr/40256456
2023,Volkswagen Golf,2.0 Diesel,42221,28500,https://www.donedeal.ie/cars-for-sale/volkswagen-golf-life-2-0-tdi-115hp-5dr/39436438
2020,Volkswagen Touran,2.0 Diesel,77248,32950,https://www.donedeal.ie/cars-for-sale/volkswagen-touran-se-tdi-se-tdi-automatic/38457886
2021,Volkswagen Golf,2.0 Diesel,85311,32450,https://www.donedeal.ie/cars-for-sale/volkswagen-golf-r-line-tdi-s-a-dsg/40188922
2021,Volkswagen Golf,2.0 Diesel,77000,23750,https://www.donedeal.ie/cars-for-sale/volkswagen-golf-2-0-tdi-115hp-5dr/39772313
2022,Volkswagen Passat,2.0 Diesel,84525,36500,https://www.donedeal.ie/cars-for-sale/volkswagen-passat-r-line-estate-automatic-2-0-t/39571758
2010,Volkswagen Golf,1.6 Diesel,188270,5295,https://www.donedeal.ie/cars-for-sale/2010-volkswagen-golf-1-6-tdi-105bhp-trendline/39665580
2018,Volkswagen Polo,1.0 Petrol,100799,15950,https://www.donedeal.ie/cars-for-sale/volkswagen-polo-1-0-auto/40518314
2018,Volkswagen Golf,1.6 Diesel,189847,14995,https://www.donedeal.ie/cars-for-sale/2018-volkswagen-golf-1-6d-tdi-3dr-trendline/40382107
