year,name,engine_size,mileage(km),price(eur),link
2017,Volvo S60,2.0 Diesel,210244,12495,https://www.donedeal.ie/cars-for-sale/2017-volvo-s60-d2-120hp-r-design-se-nav/39809477
2015,Volvo XC60,2.0 Diesel,303622,9495,https://www.donedeal.ie/cars-for-sale/2015-volvo-xc60-2-0-d4-fwd-se-181hp/40536059
2017,Volvo S60,2.0 Diesel,196000,10995,https://www.donedeal.ie/cars-for-sale/2017-volvo-s60-2-0-d3-se-diesel/40034092
2014,Volvo S60,1.6 Diesel,190314,8295,https://www.donedeal.ie/cars-for-sale/2014-volvo-s60-se-1-6-d2-115hp-automatic/39194178
2018,Volvo XC60,2.0 Diesel,197615,25995,https://www.donedeal.ie/cars-for-sale/2018-volvo-xc60-2-0-d4-awd-momentum-automatic/40382070
2019,Volvo S90,2.0 Diesel,120000,34950,https://www.donedeal.ie/cars-for-sale/volvo-s90-2-0-td-d4-r-design-pro-190b-190bhp-4dr-a/39836232
2015,Volvo XC60,2.0 Diesel,112000,17250,https://www.donedeal.ie/cars-for-sale/volvo-xc60-2015-diesel-v-v-clean/40476415
2017,Volvo XC60,2.0 Diesel,108000,23500,https://www.donedeal.ie/cars-for-sale/volvo-xc60-d4-premium-auto/40755453
2016,Volvo S60,2.0 Diesel,78495,16950,https://www.donedeal.ie/cars-for-sale/volvo-s60-2-0-diesel-d4-se/40610811
2015,Volvo V40 T4 AUTOMATIC 1.6 PETROL,1.6 Petrol,108067,12950,https://www.donedeal.ie/cars-for-sale/volvo-v40-t4-automatic-1-6-petrol/39517319
2015,Volvo V40 T4 AUTOMATIC 1.6 PETROL,1.6 Petrol,90523,11950,https://www.donedeal.ie/cars-for-sale/volvo-v40-t4-automatic-1-6-petrol/40076773
2014,Volvo V40 T4 AUTOMATIC 1.6 PETROL,1.6 Petrol,105561,10950,https://www.donedeal.ie/cars-for-sale/volvo-v40-t4-automatic-1-6-petrol/40393861
2012,Volvo XC60,2.0 Diesel,194647,6800,https://www.donedeal.ie/cars-for-sale/volvo-xc60-2012/40130163
