year,name,engine_size,mileage(km),price(eur),link
2015,Fiat 500,1.2 Petrol,54736,7495,https://www.donedeal.ie/cars-for-sale/fiat-500-lounge-2015-1-2-petrol-only-54-000km/40100892?campaign=3
2015,Fiat Panda,1.2 Petrol,58000,6500,https://www.donedeal.ie/cars-for-sale/fiat-panda-low-mileage-1-2-easy-e6-4dr/40704967?campaign=3
2013,Kia Sportage,1.7 Diesel,270000,6495,https://www.donedeal.ie/cars-for-sale/2013-132-kia-sportage-1-7cdri-new-nct-11-26/40800627?campaign=3
2015,Volkswagen Passat,1.6 Diesel,274000,6999,https://www.donedeal.ie/cars-for-sale/volkswagen-passat-2015-6-speed-comfortline-model/40807232
2013,Mercedes-Benz C-Class,2.1 Diesel,215217,6750,https://www.donedeal.ie/cars-for-sale/mercedes-benz-c-class-c220d-2013-fresh-nct/39148302
2015,Nissan X-Trail,1.6 Diesel,267561,7395,https://www.donedeal.ie/cars-for-sale/nissan-x-trail-4x4-high-spec/40474507
2015,Honda Fit,1.5 Petrol Hybrid,135000,7999,https://www.donedeal.ie/cars-for-sale/honda-fit-2015-hybrid-automatic-nct-tax-26/40807192
2012,Suzuki Swift,1.2 Petrol,71000,8995,https://www.donedeal.ie/cars-for-sale/suzuki-swift-1-2-rs-auto/40152552
2015,Renault Zoe,22 kWh Electric,80302,5750,https://www.donedeal.ie/cars-for-sale/renault-zoe-nct-27-low-kms-4-door-stunning/40127153
2015,Hyundai i10,1.0 Petrol,117204,6550,https://www.donedeal.ie/cars-for-sale/hyundai-i10-2015-1-0-petrol-low-mileage-immaculate/40806822
2014,Volkswagen Up!,1.0 Petrol,84000,8995,https://www.donedeal.ie/cars-for-sale/volkswagen-up-2014-automatic/40031323
2013,Volkswagen CC,2.0 Diesel,171794,6750,https://www.donedeal.ie/cars-for-sale/volkswagen-cc-blue-motion-2013/40806520
2013,Volkswagen Polo,1.2 Diesel,163000,7995,https://www.donedeal.ie/cars-for-sale/2013-volkswagen-polo-1-2-comfortline/40652990
2015,Opel Mokka,1.7 Diesel,183464,5999,https://www.donedeal.ie/cars-for-sale/2015-opel-mokka-fresh-nct/40605281
2014,Opel Astra,1.4 Petrol,152887,5999,https://www.donedeal.ie/cars-for-sale/2014-opel-astra-gtc-sports-trim/40540813
2014,Volkswagen Up!,1.0 Petrol,110634,7950,https://www.donedeal.ie/cars-for-sale/volkswagen-up-1-0-petrol-automatic/40649221
2013,Nissan Note,1.2 Petrol,159000,6400,https://www.donedeal.ie/cars-for-sale/nissan-note-1-2-petrol-automatic-low-mileage-5-sea/40435638
2014,Peugeot 5008,1.6 Diesel,175000,7900,https://www.donedeal.ie/cars-for-sale/peugeot-5008-1-6-e-hdi-allure-egc-115bhp-automatic/36779835
2013,Ford Fiesta,1.0 Petrol,54717,7995,https://www.donedeal.ie/cars-for-sale/ford-fiesta-1-0-zetec-5dr/40692763
2014,Ford Fiesta,1.2 Petrol,159021,5950,https://www.donedeal.ie/cars-for-sale/ford-fiesta-1-2-petrol/40628034
2012,Mercedes-Benz C-Class,2.1 Diesel,155000,8950,https://www.donedeal.ie/cars-for-sale/mercedes-benz-c-class-200-cdi-blue-efficiency-4dr/40339491
2015,Citroen C4,1.6 Diesel,153000,7999,https://www.donedeal.ie/cars-for-sale/citroen-c4-2015-7-seater-diesel-nct-26/40805281
2017,Peugeot 308,1.2 Petrol,87002,7800,https://www.donedeal.ie/cars-for-sale/peugeot-308-2017-new-nct-07-27-petrol-1-2/40753728
2015,Hyundai i10,1.2 Petrol,119091,7995,https://www.donedeal.ie/cars-for-sale/hyundai-i10-1-2-premium-5dr/40692764
2017,Peugeot 508,1.6 Diesel,273000,6950,https://www.donedeal.ie/cars-for-sale/peugeot-508-2017/40735234
2013,Nissan Juke,1.5 Diesel,271978,5250,https://www.donedeal.ie/cars-for-sale/nissan-juke-2013-1-5-diesel-new-nct/40776329
2016,Citroen C4,1.6 Diesel,249447,7999,https://www.donedeal.ie/cars-for-sale/2016-citroen-c4automatic-7seater-special-edition/40776292?campaign=3
2015,Fiat Panda,1.2 Petrol,58000,6500,https://www.donedeal.ie/cars-for-sale/fiat-panda-low-mileage-1-2-easy-e6-4dr/40704967?campaign=3
2018,Volkswagen Passat,1.6 Diesel,332328,8950,https://www.donedeal.ie/cars-for-sale/2018-volkswagen-passat-1-6-tdi/38970758
2014,Nissan Note,1.2 Petrol,74903,7950,https://www.donedeal.ie/cars-for-sale/nissan-note-automatic-leather-seats/40610902
2015,Jaguar XF,2.0 Diesel,230135,7950,https://www.donedeal.ie/cars-for-sale/jaguar-xf-2-0d-r-sport-180ps-4dr-auto/40705220
2016,Opel Corsa,1.4 Petrol,120700,7995,https://www.donedeal.ie/cars-for-sale/opel-corsa-2016-sc-1-4-low-mileage/40285597
2014,Fiat 500,1.2 Petrol,81000,7950,https://www.donedeal.ie/cars-for-sale/fiat-500-1-2-lounge-e6-2dr/40804250
2013,Toyota Vitz,1.3 Petrol,65000,7950,https://www.donedeal.ie/cars-for-sale/toyota-vitz-nsp130-5dr-auto/40642211
2014,Toyota Vitz,1.3 Petrol,102000,7950,https://www.donedeal.ie/cars-for-sale/toyota-vitz-nsp130-200/40075000
2013,Nissan Micra,1.2 Petrol,52000,6995,https://www.donedeal.ie/cars-for-sale/nissan-micra-1-2-march-auto/40128029
2012,Kia Optima,1.7 Diesel,215651,5999,https://www.donedeal.ie/cars-for-sale/2012-kia-optima-1-7d-platinum-huge-spec/40803944
2015,Opel Astra,1.6 Diesel,244000,5950,https://www.donedeal.ie/cars-for-sale/opel-astra-2015-1-6-cdti-sri-110/40337674
2016,Peugeot 508,2.0 Diesel,150000,7850,https://www.donedeal.ie/cars-for-sale/peugeot-508-2016-2-0-hdi-150-allure-ss-nav-estate/40291382
2013,BMW X1,2.0 Diesel,231000,7650,https://www.donedeal.ie/cars-for-sale/bmw-x1-2013-2-0-d/40676071
2015,Citroen C4,1.6 Diesel,217000,6750,https://www.donedeal.ie/cars-for-sale/citroen-c4-2015-1-6-hdi-airdream-exclusive/40803798
2016,Opel Astra,1.0 Petrol,132000,6950,https://www.donedeal.ie/cars-for-sale/opel-astra-2016-1-0-turbo-ecoflex-ss/40803676
2013,Fiat 500,1.2 Petrol,138403,6950,https://www.donedeal.ie/cars-for-sale/-2013-fiat-500s-new-nct-sporty-/39674460
2015,Peugeot 2008,1.2 Petrol,67793,7950,https://www.donedeal.ie/cars-for-sale/2015-peugeot-2008-active-1-2-ecomatique-auto/38320631
2015,Nissan Leaf,Electric,64000,7950,https://www.donedeal.ie/cars-for-sale/nissan-leaf-electric/39927575
2013,Hyundai Ix20,1.4 Petrol,66000,7450,https://www.donedeal.ie/cars-for-sale/hyundai-ix20-low-mileage/40724327
2014,Mini Countryman,1.6 Petrol,137000,7950,https://www.donedeal.ie/cars-for-sale/2014-mini-countryman-1-6-cooper-s-4x4/40408991
2016,Ford Mondeo,1.5 Diesel,234000,6750,https://www.donedeal.ie/cars-for-sale/2016-ford-mondeo-1-5-tdci-zetec-120ps/40254780
2015,Dacia Duster,1.5 Diesel,132000,7450,https://www.donedeal.ie/cars-for-sale/2015-dacia-duster-1-5-dci-4x4-low-kms/40698957
2014,Renault Captur,1.5 Diesel,150000,6750,https://www.donedeal.ie/cars-for-sale/2014-renault-captur-1-5-dci-dynamic/40705490
2016,Renault Zoe,22 kWh Electric,90000,7950,https://www.donedeal.ie/cars-for-sale/renault-zoe-dynamique-nav-88bhp-auto-5-5dr/40527449
2014,Volkswagen Up!,1.0 Petrol,84000,8995,https://www.donedeal.ie/cars-for-sale/volkswagen-up-2014-automatic/40031323?campaign=3
2015,Opel Mokka,1.7 Diesel,183464,5999,https://www.donedeal.ie/cars-for-sale/2015-opel-mokka-fresh-nct/40605281?campaign=3
2015,Nissan Note,1.2 Petrol,115000,6450,https://www.donedeal.ie/cars-for-sale/nissan-note-2015-5dr-1-2-petrol-sport-model/40708498
2018,Nissan Pulsar,1.5 Diesel,207331,6995,https://www.donedeal.ie/cars-for-sale/nissan-pulsar-2018-1-5-dci-5dr-diesel-nctd-26/40708372
2016,Nissan Juke,1.5 Diesel,239000,6995,https://www.donedeal.ie/cars-for-sale/nissan-juke-2016-diesel-suv-in-white-nct-26/40708338
2015,Renault Zoe,22 kWh Electric,80302,5750,https://www.donedeal.ie/cars-for-sale/renault-zoe-nct-27-low-kms-4-door-stunning/40760085
2015,Opel Mokka,1.4 Petrol,124000,8888,https://www.donedeal.ie/cars-for-sale/152-opel-mokka-1-4-new-nct-irish-warranty/40597678
2014,Opel Insignia,2.0 Diesel,90000,5950,https://www.donedeal.ie/cars-for-sale/opel-insignia-only-90-000-kms/40801973
2013,Suzuki Swift,1.2 Petrol,97205,7750,https://www.donedeal.ie/cars-for-sale/2013-suzuki-swift-1-2l-automatic-low-miles/40757945
2014,Hyundai i20,1.2 Petrol,121674,5750,https://www.donedeal.ie/cars-for-sale/hyundai-i20-2014/40400450
2012,Suzuki Swift,1.2 Petrol,83000,7995,https://www.donedeal.ie/cars-for-sale/suzuki-swift-1-2-rs-auto/40128024
2012,Ford Fiesta,1.2 Petrol,169900,5950,https://www.donedeal.ie/cars-for-sale/ford-fiesta-1-25-style-5dr/40533072
2015,Opel Insignia,2.0 Diesel,173300,6499,https://www.donedeal.ie/cars-for-sale/opel-insignia-elite-one-private-owner-175k-klms/40800814
2016,Opel Insignia,1.6 Diesel,151600,7950,https://www.donedeal.ie/cars-for-sale/opel-insignia-1-6-cdti-136-ps-sc-5dr/40351667
2016,Renault Scenic,1.6 Diesel,196339,7995,https://www.donedeal.ie/cars-for-sale/lovely-renault-grand-scenic-2016-3-month-warranty/40584858
2015,Ford Fiesta,1.2 Petrol,153424,7500,https://www.donedeal.ie/cars-for-sale/ford-fiesta-1-2-petrol-excellent-cond-warranty/40801148
2017,Mazda Mazda2,1.5 Petrol,172987,7995,https://www.donedeal.ie/cars-for-sale/mazda-mazda2-2017-nct-01-27-190-tax/40559058
2016,Dacia Duster,1.5 Diesel,113568,7450,https://www.donedeal.ie/cars-for-sale/dacia-duster-2016/40545395
